tension,latitud_y_longitud,poder de voltaje
13.2,"-64.6967432454345,-24.2289350474089",MEDIO
13.2,"-64.6965618819074,-24.2290553569466",MEDIO
13.2,"-65.0559068754415,-24.5097311727495",MEDIO
13.2,"-65.0559067951626,-24.509708667822",MEDIO
13.2,"-65.0535850833415,-24.5045484135989",MEDIO
13.2,"-65.0531868526137,-24.5036980102308",MEDIO
13.2,"-65.237990462095,-24.2268613993751",MEDIO
13.2,"-65.2407131186462,-24.2261110513838",MEDIO
13.2,"-65.3566270511867,-23.204093564884",MEDIO
13.2,"-65.3566267889863,-23.2040844474979",MEDIO
13.2,"-65.3553852585591,-23.2036239771153",MEDIO
13.2,"-65.35348509766,-23.4397653775117",MEDIO
13.2,"-65.3536973214991,-23.4414018060788",MEDIO
13.2,"-65.3512665119246,-23.4393239059166",MEDIO
13.2,"-65.3589155458665,-23.1950727749264",MEDIO
13.2,"-65.3533877657639,-23.1980006083808",MEDIO
13.2,"-65.3596171108778,-23.1934352907765",MEDIO
13.2,"-65.3994920759303,-23.5792975963911",MEDIO
13.2,"-65.4011880857695,-23.577997263125",MEDIO
13.2,"-65.3828445603128,-23.5310018358761",MEDIO
13.2,"-65.3828445186013,-23.5310018591627",MEDIO
13.2,"-64.6344001756898,-24.3366227832972",MEDIO
13.2,"-64.6315991016256,-24.3385234243941",MEDIO
13.2,"-64.6272994773063,-24.3366223180442",MEDIO
13.2,"-64.598999899168,-24.3320316551886",MEDIO
13.2,"-64.5827993357033,-24.3280224860426",MEDIO
13.2,"-65.5907911080132,-22.1352455227795",MEDIO
13.2,"-65.5962022883852,-22.1390110241038",MEDIO
13.2,"-65.4133306341859,-23.5937089473571",MEDIO
13.2,"-65.413330651108,-23.5937342218154",MEDIO
13.2,"-65.4121055239035,-23.5941282181891",MEDIO
13.2,"-65.2001380069287,-24.2697244803249",MEDIO
13.2,"-65.1987338540634,-24.2697216513409",MEDIO
13.2,"-65.197932760474,-24.2697630204185",MEDIO
13.2,"-65.4726446681879,-23.7519459350468",MEDIO
13.2,"-65.4758678826973,-23.7607403179239",MEDIO
13.2,"-65.4724797671699,-23.7516813556743",MEDIO
13.2,"-65.4708859302609,-23.7490176253763",MEDIO
13.2,"-65.4708995527075,-23.7490447581354",MEDIO
13.2,"-65.2651634346707,-24.2066081556446",MEDIO
13.2,"-65.2650648131935,-24.2065181263201",MEDIO
13.2,"-65.2647421513245,-24.2062173919647",MEDIO
13.2,"-65.2644336787262,-24.2059379422029",MEDIO
13.2,"-65.2647217617208,-24.2070076283115",MEDIO
13.2,"-65.0987731836619,-24.4672873133446",MEDIO
13.2,"-65.0987731836619,-24.4672873133445",MEDIO
13.2,"-65.254086292479,-24.2376984913273",MEDIO
13.2,"-65.4061323886153,-23.6244161245578",MEDIO
13.2,"-64.6949169116401,-24.2260891659066",MEDIO
13.2,"-64.7054235269332,-24.2519403232693",MEDIO
13.2,"-64.7024778471051,-24.2444444494076",MEDIO
13.2,"-64.7102903137229,-24.27328075719",MEDIO
13.2,"-64.6963309823483,-24.2292068359727",MEDIO
13.2,"-66.0431273153615,-22.5063932272166",MEDIO
